,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-07-06 00:00:00,4642432.96252955,1028629.3832577454,4236853.8200928895,-1.1929646616674994e-09,4.963425320088963e-08,13,5.082721786255713e-08
1,0,2021-07-06 00:05:00,4642432.875503118,1028629.7379642635,4236853.4644262,-2.255113911320159e-09,4.678728574533165e-08,14,4.9042399656651805e-08
2,0,2021-07-06 00:10:00,4642432.942179608,1028629.5328195042,4236853.390802451,-2.583904527367844e-09,4.390611322034542e-08,15,4.649001774771326e-08
3,0,2021-07-06 00:15:00,4642432.572988707,1028629.5390875925,4236852.951952982,-1.1858136645553887e-09,4.254187785768115e-08,15,4.372769152223654e-08
4,0,2021-07-06 00:20:00,4642432.905123875,1028629.2648222651,4236852.668671079,-1.2669217795251362e-09,3.7927615906993933e-08,16,3.919453768651907e-08
5,0,2021-07-06 00:25:00,4642432.567895962,1028629.4817294938,4236852.6226959545,-3.6136261696295916e-09,3.1575945629731e-08,16,3.5189571799360595e-08
6,0,2021-07-06 00:30:00,4642430.241608901,1028628.5609074401,4236851.307431679,-1.0473989440632465e-08,1.8535088717066503e-08,17,2.900907815769897e-08
7,0,2021-07-06 00:35:00,4642429.625524495,1028628.494955334,4236850.766846412,-1.194431187771186e-08,1.1456128021804265e-08,17,2.3400439899516123e-08
8,0,2021-07-06 00:40:00,4642428.44536497,1028628.291615933,4236850.480348601,-1.3835717486237104e-08,4.301126122213563e-09,17,1.8136843608450668e-08
9,0,2021-07-06 00:45:00,4642427.942277679,1028628.1062137837,4236850.027433339,-1.6777746677530942e-08,-3.4985597881305777e-09,17,1.3279186889400365e-08
10,0,2021-07-06 00:50:00,4642427.3482461255,1028627.8352761592,4236850.051284801,-1.5154297843132e-08,-6.70582644605852e-09,18,8.44847139707348e-09
11,0,2021-07-06 00:55:00,4642426.891883082,1028627.6342750228,4236849.667850602,-1.6977268347168666e-08,-1.3961250217024681e-08,18,3.0160181301439847e-09
12,0,2021-07-06 01:00:00,4642427.243930039,1028627.1265199819,4236850.42005639,-1.5318552355303394e-08,-1.4770235473342118e-08,16,5.483168819612764e-10
13,0,2021-07-06 01:05:00,4642426.446733933,1028627.0690161496,4236850.379711845,-1.527065007713635e-08,-2.1030708241207853e-08,16,-5.760058164071501e-09
14,0,2021-07-06 01:10:00,4642427.50911533,1028627.6863288569,4236850.354831561,-1.4175063047345308e-08,-2.4978375116288817e-08,17,-1.0803312068943508e-08
15,0,2021-07-06 01:15:00,4642427.2140100375,1028627.6772372408,4236850.322079165,-1.4080125724427068e-08,-2.9125625070246902e-08,17,-1.5045499345819832e-08
16,0,2021-07-06 01:20:00,4642426.632532646,1028627.9741969754,4236849.666848883,-1.3747546434802376e-08,-3.4626782159857973e-08,17,-2.0879235725055597e-08
17,0,2021-07-06 01:25:00,4642426.646565434,1028628.156153551,4236849.291229724,-1.484207408341305e-08,-3.9882739801988364e-08,17,-2.5040665718575313e-08
18,0,2021-07-06 01:30:00,4642426.70778292,1028628.3005883378,4236849.173390446,-1.725696072817486e-08,-4.5530580964380254e-08,17,-2.8273620236205395e-08
19,0,2021-07-06 01:35:00,4642426.0327216955,1028628.5831577858,4236848.617650142,-1.805542525793716e-08,-5.045129986596074e-08,17,-3.2395874608023577e-08
20,0,2021-07-06 01:40:00,4642424.757259928,1028628.7953599123,4236846.134349142,-2.4417008745937436e-08,-5.95733677290559e-08,15,-3.515635898311846e-08
21,0,2021-07-06 01:45:00,4642423.855556551,1028629.0367594159,4236845.545198277,-2.231484134784843e-08,-6.038648742299714e-08,15,-3.807164607514871e-08
22,0,2021-07-06 01:50:00,4642423.879998603,1028628.9455632701,4236845.3275570795,-2.1199780982794545e-08,-5.9537450495014594e-08,15,-3.833766951222005e-08
23,0,2021-07-06 01:55:00,4642423.891806611,1028629.4871789523,4236845.054233055,-2.568426727821782e-08,-6.556953067393807e-08,15,-3.988526339572025e-08
24,0,2021-07-06 02:00:00,4642423.565893458,1028629.6386266338,4236844.813703154,-2.5770272101243118e-08,-6.539817148852673e-08,15,-3.9627899387283614e-08
25,0,2021-07-06 02:05:00,4642419.6789527,1028630.4852194788,4236841.529271394,-3.912203099683276e-08,-8.353231922242118e-08,16,-4.4410288225588417e-08
26,0,2021-07-06 02:10:00,4642419.329560697,1028630.5111291677,4236841.758638887,-3.6954944136277765e-08,-7.974359024314041e-08,16,-4.278864610686264e-08
27,0,2021-07-06 02:15:00,4642420.781474793,1028631.7113635109,4236843.437497173,-3.0769722810469553e-08,-7.218771046018136e-08,17,-4.1417987649711805e-08
28,0,2021-07-06 02:20:00,4642421.731685832,1028632.3642780408,4236842.479930652,-3.024451581703066e-08,-6.883422344995031e-08,17,-3.8589707632919654e-08
29,0,2021-07-06 02:25:00,4642421.95178576,1028632.6375964979,4236842.8603444705,-2.886830263159436e-08,-6.422604476515663e-08,17,-3.5357742133562275e-08
30,0,2021-07-06 02:30:00,4642422.877723865,1028633.1810512795,4236843.743139678,-2.42836374699587e-08,-5.533541971692661e-08,17,-3.105178224696791e-08
31,0,2021-07-06 02:35:00,4642424.360437457,1028632.4921367741,4236846.178736016,-1.7980766241964516e-08,-4.083030999377908e-08,15,-2.2849543751814565e-08
32,0,2021-07-06 02:40:00,4642424.485412125,1028632.4519917425,4236846.609243051,-1.5917763896091492e-08,-3.384518404933306e-08,15,-1.792742015324157e-08
33,0,2021-07-06 02:45:00,4642427.4606649745,1028631.901069655,4236851.510465116,-4.1402725230914195e-09,-1.1146821134304462e-08,16,-7.006548611213042e-09
34,0,2021-07-06 02:50:00,4642431.342285379,1028631.0327043026,4236854.269373326,4.626313993170641e-09,7.904163461138628e-09,15,3.277849467967987e-09
35,0,2021-07-06 02:55:00,4642427.477483409,1028630.2466960987,4236853.06750034,-4.13968010582917e-09,-1.5695955386335535e-10,16,3.982720551965815e-09
36,0,2021-07-06 03:00:00,4642425.667075291,1028631.2582588447,4236850.764642667,-1.1046838723780254e-08,-8.172553478568854e-09,18,2.8742852452114007e-09
