,index,datetime,X,Y,Z,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-07-17 00:00:00,4642434.388193494,1028630.1741481685,4236855.000195316,4.289696676058326e-09,7.548939481035479e-08,13,7.119969813429646e-08
1,0,2021-07-17 00:05:00,4642433.920386112,1028630.0982009143,4236854.900549846,3.96934807337578e-09,7.428487719072094e-08,14,7.031552911734516e-08
2,0,2021-07-17 00:10:00,4642433.27374588,1028629.6956101125,4236853.725811952,3.997084652640047e-09,7.285079894058476e-08,15,6.885371428794472e-08
3,0,2021-07-17 00:15:00,4642433.044519512,1028629.6519453896,4236853.252041423,2.122507755522997e-09,6.872218272030664e-08,15,6.659967496478364e-08
4,0,2021-07-17 00:20:00,4642432.28567026,1028629.6003759935,4236852.683901039,1.5292614558352718e-09,6.441100877099952e-08,15,6.288174731516425e-08
5,0,2021-07-17 00:25:00,4642432.698334331,1028630.0818754544,4236853.141042175,1.5802820451589346e-09,6.179304527725267e-08,16,6.021276323209374e-08
6,0,2021-07-17 00:30:00,4642432.364815463,1028630.0471741784,4236853.02782994,-7.109779263821043e-10,5.615656129597639e-08,17,5.686753922235849e-08
7,0,2021-07-17 00:35:00,4642431.822117102,1028630.0615995185,4236852.276283616,-9.677978109704202e-11,5.055128146298055e-08,17,5.064806124407759e-08
8,0,2021-07-17 00:40:00,4642431.339331502,1028630.0752301471,4236851.345895138,-2.8220759022462703e-09,4.2414115128509455e-08,17,4.523619103075573e-08
9,0,2021-07-17 00:45:00,4642429.781070689,1028629.5961923079,4236850.164345909,-6.576691902623545e-09,3.1356331291454994e-08,18,3.793302319407854e-08
10,0,2021-07-17 00:50:00,4642429.751956456,1028630.0203767016,4236849.523136365,-6.3682016984818755e-09,2.5360950019572243e-08,17,3.172915171805412e-08
11,0,2021-07-17 00:55:00,4642428.664879191,1028630.015622806,4236847.86185007,-1.055231047183536e-08,1.4399285245981412e-08,16,2.495159571781677e-08
12,0,2021-07-17 01:00:00,4642426.399361594,1028628.8952628871,4236845.556383418,-1.8424660115853708e-08,-2.3315451510375177e-09,15,1.609311496481619e-08
13,0,2021-07-17 01:05:00,4642425.463120493,1028628.4714779296,4236844.870948748,-2.1288070659751154e-08,-1.183564254842379e-08,15,9.452428111327365e-09
14,0,2021-07-17 01:10:00,4642424.8124152245,1028628.5448516234,4236844.033110179,-2.1675470464492068e-08,-2.072697931648508e-08,15,9.484911480069876e-10
15,0,2021-07-17 01:15:00,4642424.495710194,1028628.1327796816,4236843.730418604,-2.2659442924167205e-08,-2.8298694342856503e-08,15,-5.639251418689298e-09
16,0,2021-07-17 01:20:00,4642423.735375585,1028628.2282292882,4236842.836545488,-2.595794287283031e-08,-3.9792547425715823e-08,15,-1.3834604552885514e-08
17,0,2021-07-17 01:25:00,4642422.932877835,1028627.9155252437,4236842.901791295,-2.4923887100940922e-08,-4.454943673414737e-08,15,-1.9625549633206446e-08
18,0,2021-07-17 01:30:00,4642424.302271972,1028628.5370618243,4236844.428725684,-1.9050233107008422e-08,-4.443491010839918e-08,16,-2.5384677001390757e-08
19,0,2021-07-17 01:35:00,4642424.154275441,1028628.5847905123,4236844.22723338,-2.1806677762104247e-08,-5.0931207962408355e-08,16,-2.9124530200304108e-08
20,0,2021-07-17 01:40:00,4642423.972953001,1028628.712980881,4236844.571218128,-2.0770605395711152e-08,-5.3022971264338765e-08,16,-3.225236586862761e-08
21,0,2021-07-17 01:45:00,4642424.533198604,1028629.0898259465,4236845.213392375,-1.6814319665993025e-08,-5.1111164397935244e-08,16,-3.429684473194222e-08
22,0,2021-07-17 01:50:00,4642423.659378523,1028629.4331776504,4236844.909510898,-1.7714851716081914e-08,-5.273668034318972e-08,15,-3.502182862710781e-08
23,0,2021-07-17 01:55:00,4642423.953471051,1028629.5084191612,4236845.123850325,-1.663487122402196e-08,-5.027750896588763e-08,15,-3.3642637741865666e-08
24,0,2021-07-17 02:00:00,4642426.010699623,1028629.9432645153,4236846.5555310855,-1.1063828441253228e-08,-4.4065402666950845e-08,17,-3.3001574225697616e-08
25,0,2021-07-17 02:05:00,4642429.0574887805,1028630.6068704668,4236850.316571022,-3.797055433780885e-09,-2.4570988054335058e-08,15,-2.0773932620554174e-08
26,0,2021-07-17 02:10:00,4642429.332296706,1028630.7128314935,4236851.194374646,-1.9711328582199813e-09,-1.845103380838487e-08,15,-1.647990095016489e-08
27,0,2021-07-17 02:15:00,4642429.413230685,1028630.4518835966,4236851.288531912,-1.821185142054244e-09,-1.288299456095369e-08,16,-1.1061809418899446e-08
28,0,2021-07-17 02:20:00,4642429.70994673,1028630.7312998851,4236851.496838299,-1.715363795552034e-10,-6.3888995316215055e-09,16,-6.2173631520663024e-09
29,0,2021-07-17 02:25:00,4642430.239781378,1028630.8234517281,4236851.686582186,4.970432698539556e-10,8.606593903249062e-10,15,3.6361612047095054e-10
30,0,2021-07-17 02:30:00,4642430.024362023,1028630.9236190632,4236851.666516704,4.663105191598926e-10,6.738094047809199e-09,14,6.2717835286493065e-09
