,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
0,2021-07-17 00:00:00,E01,27740661.560573697,-6112563.70110397,8330750.19647788,-804.7945772419714,245.39174329006232,2861.9073086942462,-0.001151610224042,24866423.337,E
1,2021-07-17 00:00:00,E04,11833252.552744675,-12476845.995761294,24102549.21943115,1957.53271011261,1414.04156630738,-228.69880495454723,-0.0008148511406034,25319279.918,E
2,2021-07-17 00:00:00,E19,25241541.347499814,5997438.716296552,14261204.496126426,1183.895181593547,801.4950528037125,-2433.793546324815,0.000328635214828,23342902.622,E
3,2021-07-17 00:00:00,E27,-2101475.9727779133,18149257.154746808,23297237.955754638,-2120.688068122397,980.6648841946169,-955.3058016305325,-7.721863221377e-05,26516406.496,E
4,2021-07-17 00:05:00,E01,27488445.616607018,-6030754.225778977,9183363.605516376,-876.1160714886075,300.4836696287304,2821.527051069245,-0.001151612619992105,24763404.247,E
5,2021-07-17 00:05:00,E04,12424252.64521624,-12059963.852648998,24017300.83991743,1981.8121644657615,1364.786380883919,-339.5581381215707,-0.0008148535621330435,25207013.131,E
6,2021-07-17 00:05:00,E19,25590356.614778295,6227463.407520162,13521376.230881395,1140.8588788617496,732.2010865143008,-2497.826859546343,0.0003286380669465413,23397138.886,E
7,2021-07-17 00:05:00,E27,-2730120.110438125,18449021.344542652,22994612.3807733,-2069.69054390198,1017.2405667674673,-1061.9657603406035,-7.722113048202893e-05,26662900.058,E
8,2021-07-17 00:10:00,E01,27215318.640807122,-5931995.784742424,10023276.18079993,-944.1706977438666,358.35280507318566,2777.2456638400154,-0.001151615229901,24665431.443,E
9,2021-07-17 00:10:00,E04,13021940.370502887,-11658195.088785766,23898861.29629941,2002.0978683379315,1313.3228499783336,-449.9475208801907,-0.0008148560882546,25099261.966,E
10,2021-07-17 00:10:00,E19,25925652.794225305,6436890.095161056,12762853.660229808,1093.784225586957,664.2160336887407,-2558.4085422835306,0.0003286409773864,23458168.024,E
11,2021-07-17 00:10:00,E21,17083711.22564975,8540683.233370248,22618468.29465387,-2048.8229451443367,975.6491766140277,1178.987882359001,-0.0006766389124095,23635746.748,E
12,2021-07-17 00:10:00,E27,-3342950.241786644,18759278.86828848,22660205.198352817,-2015.2928117497238,1050.59035642307,-1167.1587981731152,-7.722362875028787e-05,26810467.129,E
13,2021-07-17 00:15:00,E01,26922287.795600817,-5815484.765318485,10849326.87985266,-1008.7797502960394,418.7998551676608,2729.1244343489275,-0.0011516176301143615,24572541.047,E
14,2021-07-17 00:15:00,E04,13625100.871315122,-11272168.677331023,23747394.5169388,2018.2796928287296,1259.8747947667136,-559.7146386555613,-0.0008148585097842435,24996310.212,E
