,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC,iono_delay
0,G02,13730341.504498314,-13976600.915023472,18609424.95867686,2231.8882132537256,-33.02703530474437,-1728.4312634848957,-0.0006017643027008,22859011.973,G,2021-05-06 00:00:00,,
1,G03,12641769.00697565,23407705.2149636,-1064960.0223118565,-275.9988033698778,14.966631498722329,-3182.114762101545,-0.0001560277305543,24396703.973,G,2021-05-06 00:00:00,,
2,G04,3815828.527142237,18515586.385969047,18642826.805228367,-1380.4911601395129,1929.1858032301952,-1639.7445125610575,-0.0001950603909791,22730195.85,G,2021-05-06 00:00:00,,
3,G06,23717064.15618249,-6647496.810449954,10078819.10591499,1265.6052302691792,182.33331232674053,-2868.7808968013574,1.303944736719e-05,21371151.355,G,2021-05-06 00:00:00,,
4,G07,23415812.478928365,7863611.314855416,10748252.47237663,-1300.2579627965213,211.27629664087823,2719.3737105121186,0.0001426083035767,20970482.891,G,2021-05-06 00:00:00,,
5,G09,12742418.903794594,8637980.812457282,21586121.96591183,-1354.8945337716143,2401.652001223877,-163.1468231872168,-0.0003436496881476,20706629.937,G,2021-05-06 00:00:00,,
6,G16,-4097279.215212901,19258292.05371876,17353483.88147849,-1113.4596189048375,-1982.777685961198,1955.166366069259,-0.0003205933608115,24194845.955,G,2021-05-06 00:00:00,,
7,G26,-10444180.102185689,12156478.718663463,21090874.239900835,-1511.9661213816491,-2240.557605787044,567.6662431232071,8.149957284331e-05,25184548.834,G,2021-05-06 00:00:00,,
8,G30,26577527.4223891,-914366.1742607108,-2204718.561377772,276.9082108500727,341.60368763668976,3090.950785254912,-0.0004222337156534,23070443.504,G,2021-05-06 00:00:00,,
9,G02,14390266.590067107,-13991648.554391842,18074129.109244723,2166.855236976525,-66.78580867641365,-1839.6919222293905,-0.0006017652917762,22810043.103,G,2021-05-06 00:05:00,,
10,G03,12549883.84659526,23397494.08438228,-2018279.9118373736,-337.203553612074,-82.57869727020821,-3172.3448239157,-0.000156030868311,24582830.381,G,2021-05-06 00:05:00,,
11,G04,3411631.609865848,19089806.75913292,18133195.343277525,-1314.0600590079207,1898.0035825591424,-1757.2589619790067,-0.0001950608684638,22880112.646,G,2021-05-06 00:05:00,,
12,G06,24080908.86177876,-6596149.565732832,9208865.871249557,1159.5765210194086,160.71532890565342,-2929.988799244364,1.3040504654780813e-05,21460307.336,G,2021-05-06 00:05:00,,
13,G07,23011380.78798685,7930389.982846074,11553953.8562448,-1395.466425283037,234.56303251885828,2651.1533563419507,0.0001426115777576,20899866.819,G,2021-05-06 00:05:00,,
14,G09,12342633.026871491,9360852.642392598,21516422.003836,-1309.9152563652517,2416.584340492024,-301.44618454231727,-0.0003436504384807,20774305.578,G,2021-05-06 00:05:00,,
15,G16,-4441262.691377436,18656566.567676567,17922625.65976087,-1179.805831110697,-2027.729134723239,1838.4935124536487,-0.0003205951684322,24190878.182,G,2021-05-06 00:05:00,,
16,G26,-10904769.739940716,11485681.97504396,21240774.39663032,-1558.1950659676309,-2230.534299289372,431.52304840970334,8.150107350956793e-05,25277714.692,G,2021-05-06 00:05:00,,
17,G30,26644080.09634151,-812841.2580739317,-1275643.822146847,166.69072824005872,335.95311852141486,3101.905634557401,-0.0004222352163196,22882995.616,G,2021-05-06 00:05:00,,
18,G02,15030010.646421162,-14016357.118558552,17505929.261614904,2097.3828005512087,-97.39220684466106,-1947.7581445991336,-0.0006017662808517,22770733.193,G,2021-05-06 00:10:00,,
19,G03,12439076.724061212,23358450.241372585,-2967764.388768947,-402.1092077759759,-177.20204014083987,-3156.549979312489,-0.0001560340060677,24771510.939,G,2021-05-06 00:10:00,,
20,G04,3027432.2778845457,19653821.9719634,17588806.425642267,-1247.2310731257844,1861.1565014862967,-1871.4236451619,-0.0001950613459485,23031904.178,G,2021-05-06 00:10:00,,
21,G05,-569220.6574083082,-20902204.7142387,16119325.197127173,1358.0199796244394,1594.68447790637,2113.993632137606,-4.109271139896441e-05,25494132.902,G,2021-05-06 00:10:00,,
22,G06,24412557.51813332,-6550620.268819243,8321382.67350951,1051.0226298681746,143.5700704830983,-2985.628575485834,1.3041561942371622e-05,21559628.882,G,2021-05-06 00:10:00,,
23,G07,22578838.86531327,8004729.656398525,12338461.55232449,-1487.6128524280432,261.65440608295194,2578.103912493196,0.0001426148519385,20838275.512,G,2021-05-06 00:10:00,,
24,G09,11956712.107903166,10087379.512141768,21405311.66368929,-1262.512699142813,2425.998352423986,-439.1714966358059,-0.0003436511888139,20847056.591,G,2021-05-06 00:10:00,,
25,G16,-4805170.16125947,18042256.23280649,18456221.066168983,-1246.226431178238,-2066.6648461354894,1718.2316774024675,-0.0003205969760529,24198201.895,G,2021-05-06 00:10:00,,
26,G26,-11378820.71723453,10818682.959328074,21349714.320847683,-1601.6601158603712,-2215.263473634024,294.642396541259,8.150257417582586e-05,25379814.263,G,2021-05-06 00:10:00,,
27,G30,26677507.61544027,-712358.6551098267,-344160.9837429836,56.13084353456991,334.65832461488867,3107.0028068161214,-0.0004222367169859,22700114.333,G,2021-05-06 00:10:00,,
28,G02,15648273.94234146,-14049744.678465372,16905813.34894024,2023.6876017057723,-124.6070806763136,-2052.433238566174,-0.0006017672699272,22741199.589,G,2021-05-06 00:15:00,,
29,G03,12308270.66852353,23291494.041516468,-3911610.709739174,-470.49082398687233,-268.61407121628486,-3134.763607437382,-0.0001560371438244,24962537.577,G,2021-05-06 00:15:00,,
30,G04,2663298.5206835987,20205938.31790933,17010698.17573492,-1180.3464668568463,1818.6867704978936,-1982.018357067016,-0.0001950618234332,23185406.454,G,2021-05-06 00:15:00,,
31,G05,-150940.31066001393,-20417619.63977581,16737607.353154344,1430.4676272574634,1634.958561295808,2007.217634471976,-4.109305245947757e-05,25294582.919,G,2021-05-06 00:15:00,,
32,G06,24711304.99142844,-6509547.418869869,7418056.297134504,940.2945328837792,131.02512055638897,-3035.592992240269,1.3042619229962431e-05,21668736.738,G,2021-05-06 00:15:00,,
33,G07,22119146.725693498,8087745.129174789,13100346.512583151,-1576.423201668102,292.3702490773803,2500.357799314312,0.0001426181261194,20785799.521,G,2021-05-06 00:15:00,,
34,G09,11585336.606093189,10815888.487094125,21253003.16095681,-1212.9984073550545,2429.7814332263715,-576.0563111554071,-0.000343651939147,20924716.872,G,2021-05-06 00:15:00,,
35,G16,-5188970.0067354655,17417175.123405557,18953230.77767145,-1312.3615689311152,-2099.52679088781,1594.6311819319303,-0.0003205987836736,24216895.733,G,2021-05-06 00:15:00,,
36,G26,-11865460.968531668,10157033.265146649,21417512.73616718,-1642.0771492730576,-2194.899562868738,157.29076657388237,8.150407484208378e-05,25490536.837,G,2021-05-06 00:15:00,,
37,G30,26677758.59229897,-611609.6386005902,587971.4059044351,-54.4291516250817,337.72907175526143,3106.235772278917,-0.0004222382176521,22522189.894,G,2021-05-06 00:15:00,,
38,G02,16243824.105503768,-14090759.676195191,16274827.706602188,1946.001875226955,-148.20555589928048,-2153.524597431649,-0.0006017682590027,22721521.166,G,2021-05-06 00:20:00,,
39,G03,12156458.789035171,23197630.415693857,-4848027.810349073,-542.1063084360461,-356.54046857593914,-3107.0301727878355,-0.0001560402815811,25155696.9,G,2021-05-06 00:20:00,,
40,G04,2319195.941295428,20744478.226431068,16399973.780208642,-1113.7463020175237,1770.6597253395255,-2088.829619268744,-0.0001950623009179,23340468.571,G,2021-05-06 00:20:00,,
41,G05,289013.6150621958,-19921786.26365363,17323264.629788842,1502.4522111507404,1669.6665774799053,1896.5304239693376,-4.109339351999074e-05,25094815.748,G,2021-05-06 00:20:00,,
42,G06,24976552.72230981,-6471534.542524679,6500604.116699445,827.7515082092718,123.185956775634,-3079.785382397012,1.3043676517553244e-05,21787215.918,G,2021-05-06 00:20:00,,
43,G07,21633344.760297496,8180494.617604885,13838220.5101717,-1661.635836746465,326.513679571409,2418.054704239916,0.0001426214003004,20742502.008,G,2021-05-06 00:20:00,,
44,G09,11229092.345731957,11544676.151560156,21059788.418375745,-1161.691497614896,2427.843059694356,-711.8357829111388,-0.0003436526894801,21007127.122,G,2021-05-06 00:20:00,,
45,G16,-5592522.482063962,16783150.82393408,19412691.595587272,-1377.8505294318074,-2126.282947818129,1467.9490919460409,-0.0003206005912943,24246987.409,G,2021-05-06 00:20:00,,
46,G26,-12363734.92731706,9502235.177480258,21444068.34950234,-1679.1738209273217,-2169.616722832212,19.73481161825876,8.15055755083417e-05,25609546.281,G,2021-05-06 00:20:00,,
47,G30,26644884.321593218,-509285.7279266093,1518994.43127483,-164.64722988135316,345.1539562948401,3099.608606939906,-0.0004222397183184,22349603.648,G,2021-05-06 00:20:00,,
48,G02,16815500.666469973,-14138285.35735376,15614075.801708778,1864.5726021017165,-167.97802524670598,-2250.8440004696654,-0.0006017692480782,22711736.511,G,2021-05-06 00:25:00,,
49,G03,11982709.269327978,23077944.20346719,-5775239.615323701,-616.6974322694472,-440.7230058514466,-3073.405119165418,-0.0001560434193379,25350765.769,G,2021-05-06 00:25:00,,
50,G04,1994988.641655188,21267787.171139155,15757799.40725456,-1047.7669426993002,1717.1636141840495,-2191.651102693221,-0.0001950627784026,23496954.192,G,2021-05-06 00:25:00,,
51,G05,750449.7216232307,-19416379.13305121,17875156.44603775,1573.6238789816916,1698.7809927297153,1782.1518496985732,-4.10937345805039e-05,24895129.06,G,2021-05-06 00:25:00,,
52,G06,25207810.99680329,-6435156.901013913,5570770.897517095,713.7596658420039,120.13546442115424,-3118.119838937387,1.3044733805144055e-05,21914618.279,G,2021-05-06 00:25:00,,
53,G07,21122549.86981144,8283974.867946185,14550738.289336232,-1743.0024861553425,363.8719194028254,2331.341379968072,0.0001426246744813,20708408.254,G,2021-05-06 00:25:00,,
54,G09,10888468.460129362,12272015.300310755,20826038.50580279,-1108.9172173692525,2420.1152221890347,-846.2471972211785,-0.0003436534398133,21094137.782,G,2021-05-06 00:25:00,,
55,G16,-6015579.711426809,16142016.617368257,19833718.37046207,-1442.3334453600846,-2146.927344110973,1338.4485586740263,-0.000320602398915,24288451.621,G,2021-05-06 00:25:00,,
56,G30,26579038.495731287,-404085.0322250573,2447151.987353679,-274.1829941804904,356.9004679217993,3087.135965729521,-0.0004222412189846,22182719.273,G,2021-05-06 00:25:00,,
57,G02,17362219.35648623,-14191144.494293148,14924716.871238736,1779.660659355586,-183.731094623704,-2344.207921308784,-0.0006017702371537,22711841.041,G,2021-05-06 00:30:00,,
58,G03,11786170.047369516,22933595.169319604,-6691488.314128875,-693.9909154118216,-520.9205742716501,-3033.954745526736,-0.0001560465570946,25547512.51,G,2021-05-06 00:30:00,,
59,G04,1690440.554296813,21774240.49921115,15085401.999970144,-982.7395759199344,1658.3092858052046,-2290.284037588347,-0.0001950632558874,23654728.768,G,2021-05-06 00:30:00,,
60,G05,1233071.7415245213,-18903077.47219391,18392209.31812052,1643.6336183645417,1722.2981612188028,1664.3092950029784,-4.109407564101707e-05,24695825.117,G,2021-05-06 00:30:00,,
61,G06,25404700.771505944,-6398968.328850409,4630325.540831921,598.6904473699008,121.93354605211864,-3150.521390336992,1.3045791092734866e-05,22050462.187,G,2021-05-06 00:30:00,,
62,G07,20587951.31743503,8399116.517160758,15236599.654424332,-1820.289151794096,404.21716837329086,2240.3714402348155,0.0001426279486622,20683511.986,G,2021-05-06 00:30:00,,
63,G09,10563855.771811403,12996161.745420417,20552202.922450747,-1055.0054780802443,2406.552760060524,-979.0304932084916,-0.0003436541901464,21185592.599,G,2021-05-06 00:30:00,,
64,G16,-6457786.199060293,15495603.680494009,20215505.727147616,-1505.4530004157434,-2161.47996897689,1206.3981467144818,-0.0003206042065358,24341212.207,G,2021-05-06 00:30:00,,
65,G30,26480476.511833485,-294718.5620623189,3370693.947326639,-382.6990354715271,372.9151396458006,3068.843040000439,-0.0004222427196509,22021885.567,G,2021-05-06 00:30:00,,
66,G02,17882976.141549885,-14248104.385811431,14207964.466514032,1691.539912318433,-195.28847947260107,-2433.437844016518,-0.0006017712262292,22721794.66,G,2021-05-06 00:35:00,,
67,G03,11566073.160306074,22765812.723211072,-7595037.596674949,-773.6995727130263,-596.910131191428,-2988.756064109636,-0.0001560496948513,25745704.13,G,2021-05-06 00:35:00,,
68,G04,1405217.2146711247,22262250.1525498,14384066.9487654,-918.988754573005,1594.2297799093838,-2384.537609817578,-0.0001950637333721,23813677.834,G,2021-05-06 00:35:00,,
69,G05,1736479.0275615547,-18383558.020789467,18873419.044771355,1712.1348402171334,1740.2382747074175,1543.2371747627867,-4.109441670153023e-05,24497235.956,G,2021-05-06 00:35:00,,
70,G06,25566955.04496492,-6361508.174969123,3681057.779224741,482.91910186755945,128.6168291521786,-3176.926157018054,1.3046848380325676e-05,22194244.464,G,2021-05-06 00:35:00,,
71,G07,20030806.31709112,8526779.724197343,15894551.497251084,-1893.2769651203675,447.3075322504952,2145.305153082797,0.0001426312228431,20667776.651,G,2021-05-06 00:35:00,,
72,G09,10255545.615890972,13715361.208906583,20238808.722891863,-1000.2893686427728,2387.133597976006,-1109.9287818699847,-0.0003436549404795,21281353.858,G,2021-05-06 00:35:00,,
73,G16,-6918679.847950527,14845733.323924538,20557329.586780217,-1566.856114873121,-2169.986562085371,1072.071152442622,-0.0003206060141565,24405141.242,G,2021-05-06 00:35:00,,
74,G30,26349554.37331343,-179916.48312737,4287879.315186601,-489.8622767840792,393.1237841862109,3044.765499491853,-0.0004222442203172,21867439.121,G,2021-05-06 00:35:00,,
75,G02,18376850.975761,-14307882.11781301,13465084.901706751,1600.4962512578877,-202.49184751378243,-2518.360586753184,-0.0006017722153047,22741512.068,G,2021-05-06 00:40:00,,
76,G04,1138887.966433064,22730271.25155728,13655135.647044526,-856.8309690670127,1525.0798212110312,-2474.229342582629,-0.0001950642108568,23973691.443,G,2021-05-06 00:40:00,,
77,G05,2260167.5160849085,-17859487.90397554,19317852.73921337,1778.7849514921236,1752.645202888763,1419.1764162030204,-4.10947577620434e-05,24299701.983,G,2021-05-06 00:40:00,,
78,G06,25694419.76903852,-6321308.316689337,2724774.8279762394,366.8231442756489,140.19847319935548,-3197.2814884401632,1.3047905667916488e-05,22345439.288,G,2021-05-06 00:40:00,,
79,G07,19452435.372990623,8667750.087364588,16523389.762050912,-1961.7629882109984,492.8880015226503,2046.3092314671208,0.0001426344970241,20661134.552,G,2021-05-06 00:40:00,,
