,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat
0,0,2021-05-06 00:00:00,4642429.492758295,1028628.2007825702,4236854.617881261,6.693734015398194e-09,8.70617984669753e-08,11
1,0,2021-05-06 00:05:00,4642430.240637422,1028629.1295113753,4236855.535806374,9.56676024994938e-09,8.652530133225155e-08,11
2,0,2021-05-06 00:10:00,4642429.803093492,1028628.4689234073,4236855.200585865,7.293206188921751e-09,8.468550477600673e-08,11
3,0,2021-05-06 00:15:00,4642430.177839936,1028628.4480896494,4236855.2636453975,4.913591314296592e-09,8.113831755914954e-08,11
4,0,2021-05-06 00:20:00,4642429.537451784,1028628.3800428953,4236856.537395269,4.932396680424806e-09,8.13474907246424e-08,12
5,0,2021-05-06 00:25:00,4642429.344187451,1028627.9037890563,4236856.039088627,8.394555365522314e-09,8.209186737582247e-08,10
6,0,2021-05-06 00:30:00,4642429.4303333955,1028628.9394067483,4236855.2370023485,5.568556470013626e-09,7.247865548110638e-08,13
7,0,2021-05-06 00:35:00,4642429.836582419,1028629.2949922838,4236855.346875478,4.980140676338002e-09,7.06224213019611e-08,12
8,0,2021-05-06 00:40:00,4642429.707858031,1028628.8982537535,4236855.383949986,3.0284653402668765e-09,6.8512705388133e-08,13
9,0,2021-05-06 00:45:00,4642429.23580491,1028628.3418985324,4236854.538701346,-3.7475407320520763e-10,6.257197772149531e-08,15
10,0,2021-05-06 00:50:00,4642429.095037987,1028628.6004870151,4236854.425403352,7.727357046271228e-10,6.227111555003253e-08,15
11,0,2021-05-06 00:55:00,4642428.377582483,1028628.2520734201,4236853.706609998,-8.364634750343052e-10,6.013331139775249e-08,16
12,0,2021-05-06 01:00:00,4642427.405735589,1028628.4874249065,4236853.546359393,-2.152770383914216e-09,6.037236510409793e-08,18
13,0,2021-05-06 01:05:00,4642427.262721371,1028628.333335123,4236853.249929193,-3.950746970096164e-09,5.799451458209268e-08,19
14,0,2021-05-06 01:10:00,4642426.117982903,1028628.1885482385,4236852.830793346,-5.3136512430994535e-09,5.699814422225531e-08,17
15,0,2021-05-06 01:15:00,4642425.870729982,1028627.9652928762,4236853.277420299,-4.58526875554021e-09,5.817087633324989e-08,16
16,0,2021-05-06 01:20:00,4642425.301116647,1028628.132874121,4236851.393968496,-9.960170760894202e-09,5.05787017911713e-08,17
17,0,2021-05-06 01:25:00,4642424.823716335,1028628.1049736075,4236851.432320091,-1.009696978309169e-08,5.1289742303727296e-08,16
18,0,2021-05-06 01:30:00,4642424.639110145,1028628.0648804995,4236851.103062032,-1.1809201057536129e-08,4.972452934782283e-08,17
19,0,2021-05-06 01:35:00,4642424.128423531,1028628.0046797675,4236850.704899779,-1.3606164876043924e-08,4.825485762105531e-08,17
20,0,2021-05-06 01:40:00,4642424.722221302,1028627.9838154523,4236851.126326073,-1.2934725012983167e-08,5.0281291138489757e-08,17
21,0,2021-05-06 01:45:00,4642424.089153192,1028627.8480658309,4236850.7922533285,-1.4196736364357883e-08,5.071744650463773e-08,17
22,0,2021-05-06 01:50:00,4642425.483802496,1028627.9584693767,4236851.330605996,-1.1436089335717403e-08,5.473044789629562e-08,17
23,0,2021-05-06 01:55:00,4642425.235335673,1028627.8806298765,4236851.143569615,-1.4599719161866773e-08,5.203853027551538e-08,17
24,0,2021-05-06 02:00:00,4642426.564317867,1028627.615120901,4236850.8027668595,-1.2458321636661061e-08,5.6980971476433494e-08,14
25,0,2021-05-06 02:05:00,4642426.7283468945,1028627.4126658578,4236850.404620616,-1.043771113153368e-08,6.09478317028863e-08,14
26,0,2021-05-06 02:10:00,4642426.819198672,1028628.000920358,4236851.27802112,-9.224005105241245e-09,6.182560331410764e-08,17
27,0,2021-05-06 02:15:00,4642427.405195619,1028627.8467208662,4236851.589933879,-1.0240882041576613e-08,6.278118220842165e-08,17
28,0,2021-05-06 02:20:00,4642427.95179733,1028627.9001068943,4236851.537184969,-8.509801290858582e-09,6.481599755117402e-08,17
29,0,2021-05-06 02:25:00,4642427.871849302,1028627.502115665,4236850.837374074,-8.31374315621991e-09,6.573362697184298e-08,16
30,0,2021-05-06 02:30:00,4642428.590961757,1028627.8865679308,4236851.88550799,-7.218326682266374e-09,6.813008181618021e-08,18
31,0,2021-05-06 02:35:00,4642428.8448538715,1028627.4066834793,4236851.190676301,-7.611699229075479e-09,6.738358523191182e-08,17
32,0,2021-05-06 02:40:00,4642429.008264879,1028627.529249385,4236851.019878227,-8.305809157440155e-09,6.692959484705895e-08,16
33,0,2021-05-06 02:45:00,4642430.068115857,1028627.3040195036,4236851.8252142295,-3.0248264146372995e-09,7.258577174999251e-08,17
34,0,2021-05-06 02:50:00,4642430.2331860885,1028627.1389491629,4236851.534592779,-3.183245656864216e-09,7.324136366076347e-08,17
35,0,2021-05-06 02:55:00,4642430.612177593,1028627.4301998771,4236851.744534951,-2.869979885242976e-09,7.417727701811265e-08,17
36,0,2021-05-06 03:00:00,4642430.948411834,1028627.3279017739,4236851.937668134,-2.1730985251380732e-09,7.394382899137837e-08,16
37,0,2021-05-06 03:05:00,4642430.736060981,1028626.948940734,4236851.265548113,-3.377317273244536e-09,7.162024573259986e-08,16
38,0,2021-05-06 03:10:00,4642429.947576542,1028627.2602825077,4236849.786291297,-1.3662608650570528e-08,5.913452861459977e-08,14
39,0,2021-05-06 03:15:00,4642430.780880745,1028626.7805971478,4236849.893065416,-1.0153157188346963e-08,6.493746265994574e-08,14
40,0,2021-05-06 03:20:00,4642432.890059937,1028627.5834515167,4236854.51779097,1.690921326778414e-09,7.949994871414782e-08,17
41,0,2021-05-06 03:25:00,4642433.252712481,1028627.2717115056,4236854.355665023,4.264060243303354e-09,8.079973611492013e-08,17
42,0,2021-05-06 03:30:00,4642433.937641906,1028627.6348614487,4236855.507599942,5.611550825872776e-09,8.283760593230714e-08,17
43,0,2021-05-06 03:35:00,4642434.321606208,1028627.8834896549,4236856.483138007,1.0711497447564472e-08,8.742279589419014e-08,17
44,0,2021-05-06 03:40:00,4642435.22444901,1028628.6441703773,4236856.378217552,8.470347725942214e-09,8.589264030534348e-08,18
45,0,2021-05-06 03:45:00,4642435.7569072945,1028628.4146415415,4236856.633358127,1.324943001159999e-08,9.169353084498362e-08,17
46,0,2021-05-06 03:50:00,4642436.647411539,1028628.9653127188,4236857.180831743,1.1249636019951695e-08,8.906328682783283e-08,16
47,0,2021-05-06 03:55:00,4642436.921316788,1028629.0294707819,4236857.092083477,1.2870833168847508e-08,9.085679229210572e-08,15
48,0,2021-05-06 04:00:00,4642436.92646335,1028628.7770064526,4236857.29068516,1.425890404285413e-08,9.258463981386415e-08,16
49,0,2021-05-06 04:05:00,4642437.022581219,1028628.6448327585,4236857.34853052,1.4155850297706857e-08,9.335142273570936e-08,16
50,0,2021-05-06 04:10:00,4642436.760272461,1028628.6143948694,4236857.16671922,1.2253565608755228e-08,9.15971978487098e-08,16
51,0,2021-05-06 04:15:00,4642436.722955382,1028629.4223695423,4236856.705628511,9.321267959320729e-09,8.870770340813401e-08,17
52,0,2021-05-06 04:20:00,4642436.572711071,1028629.439572027,4236856.616016839,9.939337227651565e-09,8.971518964709792e-08,16
53,0,2021-05-06 04:25:00,4642436.391593856,1028629.6098552557,4236856.685498263,8.90885807512053e-09,8.900984594695437e-08,16
54,0,2021-05-06 04:30:00,4642436.8376230905,1028629.5659151911,4236857.00817164,7.907057994810794e-09,8.842420495126714e-08,17
55,0,2021-05-06 04:35:00,4642436.461408755,1028629.879379685,4236856.667127471,1.2583736816973103e-08,9.182616854890465e-08,17
56,0,2021-05-06 04:40:00,4642436.609908873,1028629.922250865,4236857.063676053,7.316824916834933e-09,8.584209388396993e-08,17
57,0,2021-05-06 04:45:00,4642436.883518746,1028630.0139548804,4236857.1363562085,1.1961932338625088e-08,9.136258584573721e-08,17
58,0,2021-05-06 04:50:00,4642437.008004266,1028630.5162979185,4236857.667073239,1.1390799627241886e-08,8.959162521190366e-08,17
59,0,2021-05-06 04:55:00,4642436.800702911,1028630.6234777283,4236856.890497485,9.754351037479693e-09,8.712849049541843e-08,18
60,0,2021-05-06 05:00:00,4642436.0881118765,1028630.4881592105,4236856.208657766,1.056350978557693e-08,8.645758734590699e-08,18
61,0,2021-05-06 05:05:00,4642436.11940408,1028630.7889096786,4236856.560663073,8.319995072663627e-09,8.381370105256918e-08,18
62,0,2021-05-06 05:10:00,4642435.959752892,1028630.7315386679,4236856.375057478,8.471409606592937e-09,8.21907491314849e-08,18
63,0,2021-05-06 05:15:00,4642435.699701433,1028631.1326822739,4236856.385434518,6.857176989829747e-09,7.931388136031487e-08,19
64,0,2021-05-06 05:20:00,4642434.22473266,1028631.1041299491,4236854.814335773,3.2051301271897416e-09,7.406380696011775e-08,17
