,index,datetime,xr,yr,zr,dtr,in_view_sat
0,0,2021-05-06 00:00:00,,,,,0
1,0,2021-05-06 00:05:00,,,,,0
2,0,2021-05-06 00:10:00,,,,,0
3,0,2021-05-06 00:15:00,,,,,0
4,0,2021-05-06 00:20:00,,,,,0
5,0,2021-05-06 00:25:00,,,,,0
6,0,2021-05-06 00:30:00,4642432.8619388165,1028632.1388649712,4236859.280186564,9.621653643033216e-08,5
7,0,2021-05-06 00:35:00,,,,,0
8,0,2021-05-06 00:40:00,4642434.432313157,1028632.180361954,4236859.0622782465,9.619182457863211e-08,5
9,0,2021-05-06 00:45:00,4642433.047761355,1028630.6167390998,4236856.9761049235,8.849964345612262e-08,7
10,0,2021-05-06 00:50:00,4642433.029610373,1028630.6857517322,4236856.860543349,8.951581416336607e-08,7
11,0,2021-05-06 00:55:00,4642432.257718532,1028630.5316876482,4236856.698478172,8.940218871994941e-08,7
12,0,2021-05-06 01:00:00,4642431.184433975,1028630.3326116607,4236855.8710003365,8.861035950294543e-08,9
13,0,2021-05-06 01:05:00,4642430.899480588,1028630.265826443,4236856.05080476,8.752138951880747e-08,9
14,0,2021-05-06 01:10:00,4642430.48374432,1028630.1543500281,4236856.0000147335,8.806434372834377e-08,8
15,0,2021-05-06 01:15:00,4642429.886356136,1028630.1827720978,4236855.879378695,8.76302362478666e-08,7
16,0,2021-05-06 01:20:00,4642429.245503645,1028630.0606589197,4236854.714042957,8.166673788886122e-08,9
17,0,2021-05-06 01:25:00,4642426.018859434,1028630.1023841128,4236853.5639928,7.614189036196594e-08,8
18,0,2021-05-06 01:30:00,4642426.319407473,1028630.0066423168,4236853.622310043,7.521784678562288e-08,8
19,0,2021-05-06 01:35:00,4642426.705497798,1028629.85873543,4236853.668215877,7.482892714525163e-08,8
20,0,2021-05-06 01:40:00,4642426.768131691,1028629.8074005086,4236853.83007609,7.462542670942664e-08,8
21,0,2021-05-06 01:45:00,4642427.180575614,1028629.8372956647,4236853.9026091555,7.607113085356585e-08,8
22,0,2021-05-06 01:50:00,4642427.577800982,1028629.8249997318,4236854.159463194,7.678233925775827e-08,8
23,0,2021-05-06 01:55:00,4642427.752683032,1028629.6215590839,4236854.194482156,7.356742492239956e-08,8
24,0,2021-05-06 02:00:00,4642430.94094283,1028628.3061205023,4236855.0519694425,8.015899288094426e-08,5
25,0,2021-05-06 02:05:00,4642432.293094776,1028628.164220779,4236855.852452724,8.5860194485091e-08,5
26,0,2021-05-06 02:10:00,4642428.758442258,1028629.0067738128,4236854.410712284,7.790445770637256e-08,8
27,0,2021-05-06 02:15:00,4642428.954442596,1028628.972730195,4236854.455386696,7.665848588498182e-08,8
28,0,2021-05-06 02:20:00,4642429.3557923855,1028628.8220888954,4236854.447813064,7.723174791926996e-08,8
29,0,2021-05-06 02:25:00,4642429.061603032,1028628.0236856252,4236853.225473089,7.580964410072959e-08,7
30,0,2021-05-06 02:30:00,4642429.821241712,1028628.6082025358,4236854.70938623,7.808812013399007e-08,8
31,0,2021-05-06 02:35:00,4642429.615824248,1028627.718160497,4236853.50241026,7.485751916515389e-08,7
32,0,2021-05-06 02:40:00,4642429.890883155,1028627.608991086,4236853.561141768,7.414471297445641e-08,7
33,0,2021-05-06 02:45:00,4642430.143674072,1028627.5128363805,4236853.886812209,7.733860684431536e-08,7
34,0,2021-05-06 02:50:00,4642430.433389954,1028627.271670379,4236854.011839244,7.843805590288642e-08,7
35,0,2021-05-06 02:55:00,4642430.677734823,1028627.2065273244,4236853.99086165,7.822149842210824e-08,7
36,0,2021-05-06 03:00:00,4642431.176014884,1028626.8906459082,4236854.544546892,7.846239083644747e-08,7
37,0,2021-05-06 03:05:00,4642429.92183619,1028625.2627389651,4236852.821651223,7.126851912622542e-08,6
38,0,2021-05-06 03:10:00,,,,,0
39,0,2021-05-06 03:15:00,,,,,0
40,0,2021-05-06 03:20:00,4642432.090196456,1028625.9653086222,4236855.458615719,7.809467815576571e-08,7
41,0,2021-05-06 03:25:00,4642432.438211913,1028626.148821147,4236855.597696674,8.024993654359202e-08,7
42,0,2021-05-06 03:30:00,4642432.758522473,1028625.8811330049,4236855.909439851,7.976265741604375e-08,7
43,0,2021-05-06 03:35:00,4642433.331351586,1028626.1660144994,4236856.634659076,8.437110359381127e-08,7
44,0,2021-05-06 03:40:00,4642435.752800551,1028627.3750084224,4236857.810565723,8.832693647394168e-08,8
45,0,2021-05-06 03:45:00,4642437.682035438,1028627.2962502488,4236858.63018966,9.800412060365298e-08,7
46,0,2021-05-06 03:50:00,4642438.595939024,1028628.040268667,4236858.9834940005,9.551670899727169e-08,6
47,0,2021-05-06 03:55:00,4642439.742024534,1028627.5180719852,4236860.5173625965,1.0232355059063904e-07,5
48,0,2021-05-06 04:00:00,4642439.585918689,1028627.2841009402,4236860.803905966,1.031577678970232e-07,6
49,0,2021-05-06 04:05:00,4642439.61625312,1028627.5684454114,4236861.059859651,1.043168401602246e-07,6
50,0,2021-05-06 04:10:00,4642439.709262083,1028627.738037002,4236861.091257937,1.0375900951980727e-07,6
51,0,2021-05-06 04:15:00,4642439.87315102,1028628.2621005882,4236861.175899591,1.0214781399735316e-07,6
52,0,2021-05-06 04:20:00,4642440.752188218,1028628.4810621291,4236861.820201041,1.0551188022399679e-07,5
53,0,2021-05-06 04:25:00,4642440.905466113,1028628.9457912975,4236862.151232684,1.0606818062858985e-07,5
54,0,2021-05-06 04:30:00,4642440.0678144,1028629.259340284,4236861.542522952,1.03126699170181e-07,6
55,0,2021-05-06 04:35:00,4642439.720336971,1028629.5247344081,4236861.496528191,1.074731005991286e-07,6
56,0,2021-05-06 04:40:00,4642439.7253617775,1028629.62861461,4236861.341996922,1.008811044862472e-07,6
57,0,2021-05-06 04:45:00,4642440.022937337,1028630.0471830704,4236861.5935645895,1.0751727069104302e-07,6
58,0,2021-05-06 04:50:00,4642440.013094803,1028630.3802063111,4236861.848174686,1.0576234502825505e-07,6
59,0,2021-05-06 04:55:00,4642440.233129922,1028630.8383010898,4236861.703195927,1.0613608542625082e-07,6
60,0,2021-05-06 05:00:00,4642440.146423398,1028631.0002845296,4236861.644815865,1.0890846393448559e-07,6
61,0,2021-05-06 05:05:00,4642440.288524737,1028631.4468655131,4236861.81761051,1.0734186876215745e-07,6
62,0,2021-05-06 05:10:00,4642440.630209192,1028631.8792912699,4236861.924831991,1.0848567854231056e-07,6
63,0,2021-05-06 05:15:00,4642440.652923022,1028632.2901478779,4236861.974343773,1.0749455755107227e-07,6
64,0,2021-05-06 05:20:00,,,,,0
65,0,2021-05-06 05:25:00,,,,,0
66,0,2021-05-06 05:30:00,4642441.424168863,1028633.2449045919,4236862.366645476,1.0692752736695343e-07,6
67,0,2021-05-06 05:35:00,4642441.604206445,1028633.6358616336,4236862.4299900625,1.0654187647318031e-07,6
