,index,datetime,xr,yr,zr,dtr,in_view_sat
0,0,2021-05-06 00:00:00,,,,,0
1,0,2021-05-06 00:05:00,,,,,0
2,0,2021-05-06 00:10:00,,,,,0
3,0,2021-05-06 00:15:00,,,,,0
4,0,2021-05-06 00:20:00,,,,,0
5,0,2021-05-06 00:25:00,,,,,0
6,0,2021-05-06 00:30:00,4642429.399365695,1028631.2495209173,4236856.364444505,7.57375163667253e-08,5
7,0,2021-05-06 00:35:00,,,,,0
8,0,2021-05-06 00:40:00,4642430.296182052,1028631.0614551685,4236855.60046683,7.089981838573918e-08,5
9,0,2021-05-06 00:45:00,4642428.339175254,1028629.3790077876,4236853.029930906,6.012910683201447e-08,7
10,0,2021-05-06 00:50:00,4642427.974322067,1028629.3557917271,4236852.626867843,5.887340045944666e-08,7
11,0,2021-05-06 00:55:00,4642426.9292865805,1028629.1447358791,4236852.244862021,5.687827051131575e-08,7
12,0,2021-05-06 01:00:00,4642425.668855567,1028629.1376719878,4236851.571868381,5.535714157400553e-08,9
13,0,2021-05-06 01:05:00,4642425.256240658,1028629.0199904293,4236851.6407489525,5.3231105994669836e-08,9
14,0,2021-05-06 01:10:00,4642424.703135134,1028628.8255762272,4236851.788535017,5.365089962201764e-08,8
15,0,2021-05-06 01:15:00,4642424.348904617,1028628.7417974692,4236852.203961278,5.450261879663449e-08,7
16,0,2021-05-06 01:20:00,4642423.985442251,1028628.7311035463,4236850.124182843,4.708614747378983e-08,9
17,0,2021-05-06 01:25:00,4642421.375965686,1028628.7877256041,4236849.201398405,4.322807382926013e-08,8
18,0,2021-05-06 01:30:00,4642421.9988144515,1028628.7395307925,4236849.466037846,4.374166671246321e-08,8
19,0,2021-05-06 01:35:00,4642422.72709578,1028628.6501199085,4236849.750953687,4.5095868747573975e-08,8
20,0,2021-05-06 01:40:00,4642423.143739198,1028628.6672160662,4236850.197635088,4.69284889180632e-08,8
21,0,2021-05-06 01:45:00,4642423.909700869,1028628.7740253097,4236850.601119163,5.065527273149786e-08,8
22,0,2021-05-06 01:50:00,4642424.646942049,1028628.845418878,4236851.209420435,5.37889444315532e-08,8
23,0,2021-05-06 01:55:00,4642425.143154768,1028628.7335705354,4236851.581743703,5.302672786050271e-08,8
24,0,2021-05-06 02:00:00,4642428.59962663,1028627.5828945874,4236852.527590118,6.204939075611178e-08,5
25,0,2021-05-06 02:05:00,4642430.259387112,1028627.5423088657,4236853.684804394,7.020402655149256e-08,5
26,0,2021-05-06 02:10:00,4642427.028652983,1028628.4289367864,4236852.734930206,6.455791426037514e-08,8
27,0,2021-05-06 02:15:00,4642427.48999549,1028628.4932170548,4236853.0527343,6.549476262858241e-08,8
28,0,2021-05-06 02:20:00,4642428.13787559,1028628.4315037796,4236853.2908384595,6.806878347484177e-08,8
29,0,2021-05-06 02:25:00,4642428.099827989,1028627.7500856471,4236852.36675523,6.867652511617495e-08,7
30,0,2021-05-06 02:30:00,4642429.040145618,1028628.3778898418,4236853.98941161,7.237791816800301e-08,8
31,0,2021-05-06 02:35:00,4642429.02234954,1028627.5603847249,4236852.978091932,7.058796491062908e-08,7
32,0,2021-05-06 02:40:00,4642429.439891903,1028627.495987065,4236853.16600449,7.097045611326668e-08,7
33,0,2021-05-06 02:45:00,4642429.807266518,1028627.4363496508,4236853.597128844,7.5043190545292e-08,7
34,0,2021-05-06 02:50:00,4642430.187834287,1028627.2207552036,4236853.8047023155,7.681414013496751e-08,7
35,0,2021-05-06 02:55:00,4642430.503477476,1028627.1661196507,4236853.840162049,7.70865731718945e-08,7
36,0,2021-05-06 03:00:00,4642431.068498652,1028626.8680734069,4236854.450134425,7.776313946464264e-08,7
37,0,2021-05-06 03:05:00,4642429.8631724315,1028625.2552582634,4236852.768358475,7.087516469794918e-08,6
38,0,2021-05-06 03:10:00,,,,,0
39,0,2021-05-06 03:15:00,,,,,0
40,0,2021-05-06 03:20:00,4642432.0631680945,1028625.9554154879,4236855.428497277,7.793181148405348e-08,7
41,0,2021-05-06 03:25:00,4642432.410144294,1028626.1395623923,4236855.572733097,8.009881285862207e-08,7
42,0,2021-05-06 03:30:00,4642432.726282831,1028625.8732348556,4236855.8867301075,7.9606601171116e-08,7
43,0,2021-05-06 03:35:00,4642433.295638884,1028626.1601989,4236856.612558423,8.420755706547013e-08,7
44,0,2021-05-06 03:40:00,4642435.715720606,1028627.365536852,4236857.786769702,8.815151272069987e-08,8
45,0,2021-05-06 03:45:00,4642437.644442404,1028627.2898735527,4236858.602896374,9.782072889399298e-08,7
46,0,2021-05-06 03:50:00,4642438.557569538,1028628.0370136586,4236858.947914293,9.531337898919075e-08,6
47,0,2021-05-06 03:55:00,4642439.713509345,1028627.5110526626,4236860.483098364,1.0213440743310727e-07,5
48,0,2021-05-06 04:00:00,4642439.556927919,1028627.2749786604,4236860.764871822,1.0294660440355778e-07,6
49,0,2021-05-06 04:05:00,4642439.5813414855,1028627.5575311469,4236861.015684795,1.0405531500782949e-07,6
50,0,2021-05-06 04:10:00,4642439.65607431,1028627.7205522092,4236861.033881165,1.0337800171364973e-07,6
51,0,2021-05-06 04:15:00,4642439.7872716645,1028628.232212061,4236861.0949026495,1.01556058562281e-07,6
52,0,2021-05-06 04:20:00,4642440.612344852,1028628.4341352679,4236861.697982526,1.0458484173076907e-07,5
53,0,2021-05-06 04:25:00,4642440.706612628,1028628.8806942328,4236861.978442277,1.0470275919861507e-07,5
54,0,2021-05-06 04:30:00,4642439.804308143,1028629.1747685922,4236861.312730655,1.0120102096511765e-07,6
55,0,2021-05-06 04:35:00,4642439.358311456,1028629.4155285646,4236861.181852983,1.0477309973643205e-07,6
56,0,2021-05-06 04:40:00,4642439.236552108,1028629.4910265931,4236860.918806374,9.718839278332648e-08,6
57,0,2021-05-06 04:45:00,4642439.376328376,1028629.8788547915,4236861.035772432,1.0259339871630928e-07,6
58,0,2021-05-06 04:50:00,4642439.233766088,1028630.1920971122,4236861.181603901,9.961576431193849e-08,6
59,0,2021-05-06 04:55:00,4642439.263525495,1028630.6285028768,4236860.878934181,9.847042508836184e-08,6
60,0,2021-05-06 05:00:00,4642438.905298754,1028630.7673300931,4236860.590686476,9.919905388485298e-08,6
61,0,2021-05-06 05:05:00,4642438.771994878,1028631.2008562365,4236860.51824553,9.556527009056812e-08,6
62,0,2021-05-06 05:10:00,4642438.815403476,1028631.6189059959,4236860.345646044,9.445476434849738e-08,6
63,0,2021-05-06 05:15:00,4642438.517132372,1028632.0111867088,4236860.089725766,9.106000877079039e-08,6
64,0,2021-05-06 05:20:00,,,,,0
65,0,2021-05-06 05:25:00,,,,,0
66,0,2021-05-06 05:30:00,4642438.19257324,1028632.8763011371,4236859.421002609,8.268368888591374e-08,6
