,index,datetime,xr,yr,zr,dtr,in_view_sat
0,0,2021-05-06 00:00:00,,,,,0
1,0,2021-05-06 00:05:00,,,,,0
2,0,2021-05-06 00:10:00,,,,,0
3,0,2021-05-06 00:15:00,,,,,0
4,0,2021-05-06 00:20:00,,,,,0
5,0,2021-05-06 00:25:00,,,,,0
6,0,2021-05-06 00:30:00,4642430.235098072,1028631.467264186,4236856.965385571,8.097874112639757e-08,5
7,0,2021-05-06 00:35:00,,,,,0
8,0,2021-05-06 00:40:00,4642431.9282692615,1028631.5209871528,4236856.866069253,8.129003600699602e-08,5
9,0,2021-05-06 00:45:00,4642430.460127782,1028629.9407507246,4236854.704016438,7.329742638101499e-08,7
10,0,2021-05-06 00:50:00,4642430.458575791,1028630.0239678062,4236854.622567712,7.437477881951607e-08,7
11,0,2021-05-06 00:55:00,4642429.702468669,1028629.8838732046,4236854.492389043,7.432025224916335e-08,7
12,0,2021-05-06 01:00:00,4642428.646250897,1028629.7757937256,4236853.796816249,7.38263365419605e-08,9
13,0,2021-05-06 01:05:00,4642428.370868619,1028629.7072559824,4236853.986070105,7.275949256075148e-08,9
14,0,2021-05-06 01:10:00,4642427.954379922,1028629.585993527,4236853.985852829,7.340246833632898e-08,8
15,0,2021-05-06 01:15:00,4642427.456707485,1028629.5614504471,4236854.145141838,7.366856934095524e-08,7
16,0,2021-05-06 01:20:00,4642426.868532803,1028629.4707232183,4236852.626398279,6.701975190613746e-08,9
17,0,2021-05-06 01:25:00,4642423.901446617,1028629.4995963883,4236851.569284893,6.202288775563289e-08,8
18,0,2021-05-06 01:30:00,4642424.261342386,1028629.4009964808,4236851.658611121,6.12191250700231e-08,8
19,0,2021-05-06 01:35:00,4642424.702625207,1028629.2505811651,4236851.7370766355,6.094711580344952e-08,8
20,0,2021-05-06 01:40:00,4642424.813663139,1028629.1972959925,4236851.930743368,6.084995198565078e-08,8
21,0,2021-05-06 01:45:00,4642425.265682668,1028629.226071304,4236852.032468238,6.23858347372484e-08,8
22,0,2021-05-06 01:50:00,4642425.692291948,1028629.2137835922,4236852.314498522,6.316718877907788e-08,8
23,0,2021-05-06 01:55:00,4642425.885695716,1028629.0117715759,4236852.369744891,6.000022006189049e-08,8
24,0,2021-05-06 02:00:00,4642428.9921653215,1028627.7358331309,4236853.028534721,6.643964903342158e-08,5
25,0,2021-05-06 02:05:00,4642430.363219305,1028627.5976869931,4236853.850601886,7.219783415962544e-08,5
26,0,2021-05-06 02:10:00,4642426.884308429,1028628.4122564455,4236852.614231585,6.434923690900341e-08,8
27,0,2021-05-06 02:15:00,4642427.060202009,1028628.3876014816,4236852.658551296,6.30701065920035e-08,8
28,0,2021-05-06 02:20:00,4642427.434991219,1028628.2487649476,4236852.647111498,6.359762375803294e-08,8
29,0,2021-05-06 02:25:00,4642427.158200579,1028627.5241833763,4236851.54341737,6.248683810706135e-08,7
30,0,2021-05-06 02:30:00,4642427.835236749,1028628.0666085924,4236852.896113955,6.434593817324055e-08,8
31,0,2021-05-06 02:35:00,4642427.643717459,1028627.2497728642,4236851.798899856,6.14041919869572e-08,7
32,0,2021-05-06 02:40:00,4642427.877745024,1028627.1549520688,4236851.835064108,6.059402907291936e-08,7
33,0,2021-05-06 02:45:00,4642428.086723784,1028627.0720387675,4236852.131168493,6.367276087372982e-08,7
34,0,2021-05-06 02:50:00,4642428.331224614,1028626.842814578,4236852.22065122,6.464278322752268e-08,7
35,0,2021-05-06 02:55:00,4642428.530405113,1028626.7881812198,4236852.159437174,6.428676296513615e-08,7
36,0,2021-05-06 03:00:00,4642428.985109137,1028626.4813572617,4236852.669756573,6.438320211576286e-08,7
37,0,2021-05-06 03:05:00,4642427.839645625,1028625.0181542592,4236851.088958958,5.781188995657032e-08,6
38,0,2021-05-06 03:10:00,,,,,0
39,0,2021-05-06 03:15:00,,,,,0
40,0,2021-05-06 03:20:00,4642429.748516018,1028625.5415937766,4236853.304793798,6.322411127299266e-08,7
41,0,2021-05-06 03:25:00,4642430.06192299,1028625.7045294053,4236853.40301094,6.521670025195868e-08,7
42,0,2021-05-06 03:30:00,4642430.357104989,1028625.4178577175,4236853.686475418,6.460817207782378e-08,7
43,0,2021-05-06 03:35:00,4642430.915510745,1028625.68486882,4236854.395127956,6.913779907295302e-08,7
44,0,2021-05-06 03:40:00,4642433.284788792,1028626.8403413655,4236855.5464219125,7.28903841710024e-08,8
45,0,2021-05-06 03:45:00,4642435.335552004,1028626.7445943326,4236856.409812768,8.288304108547836e-08,7
46,0,2021-05-06 03:50:00,4642436.29836604,1028627.4876924162,4236856.793609627,8.053494456074216e-08,6
47,0,2021-05-06 03:55:00,4642437.656413975,1028626.876718662,4236858.556970016,8.816599197540451e-08,5
48,0,2021-05-06 04:00:00,4642437.583013687,1028626.6479492569,4236858.919147893,8.928110144727286e-08,6
49,0,2021-05-06 04:05:00,4642437.687748774,1028626.9298417077,4236859.258591105,9.073213302569355e-08,6
50,0,2021-05-06 04:10:00,4642437.846909168,1028627.1049000045,4236859.368917882,9.044416666529669e-08,6
51,0,2021-05-06 04:15:00,4642438.068619659,1028627.6419674881,4236859.526601893,8.907808690048121e-08,6
52,0,2021-05-06 04:20:00,4642438.893392532,1028627.8763284783,4236860.1629791055,9.241492878011463e-08,5
53,0,2021-05-06 04:25:00,4642439.098466268,1028628.363765792,4236860.552291786,9.317539751055122e-08,5
54,0,2021-05-06 04:30:00,4642438.386897505,1028628.7166729209,4236860.065524863,9.062198252613883e-08,6
55,0,2021-05-06 04:35:00,4642438.06421168,1028629.0175557114,4236860.058127145,9.509404307868678e-08,6
56,0,2021-05-06 04:40:00,4642438.085974036,1028629.1598006011,4236859.931519728,8.859415011234935e-08,6
57,0,2021-05-06 04:45:00,4642438.392495019,1028629.618305736,4236860.200005064,9.528845852087187e-08,6
58,0,2021-05-06 04:50:00,4642438.3842537375,1028629.9915695031,4236860.460644524,9.355827129195102e-08,6
59,0,2021-05-06 04:55:00,4642438.5984312445,1028630.4887542763,4236860.310516218,9.392263972068157e-08,6
60,0,2021-05-06 05:00:00,4642438.498524897,1028630.6872873297,4236860.235947196,9.66518316212296e-08,6
61,0,2021-05-06 05:05:00,4642438.620321704,1028631.1666062378,4236860.382012381,9.500928856718306e-08,6
62,0,2021-05-06 05:10:00,4642438.934822481,1028631.626802038,4236860.452657348,9.604578698574812e-08,6
63,0,2021-05-06 05:15:00,4642438.92367654,1028632.0594412157,4236860.456593249,9.491766407781386e-08,6
64,0,2021-05-06 05:20:00,,,,,0
65,0,2021-05-06 05:25:00,,,,,0
66,0,2021-05-06 05:30:00,4642439.555075628,1028633.0358827556,4236860.668486279,9.378180548446557e-08,6
67,0,2021-05-06 05:35:00,4642439.676323538,1028633.41784876,4236860.661061224,9.316181222881428e-08,6
