,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-07-14 00:00:00,4642434.149949919,1028629.170933435,4236855.750564722,8.462228599611091e-09,9.078148387094522e-08,14,8.231925527133412e-08
1,0,2021-07-14 00:05:00,4642434.1074334225,1028629.3007464571,4236855.311238018,1.0822752148794806e-08,9.268446866197528e-08,15,8.186171651318048e-08
2,0,2021-07-14 00:10:00,4642434.143101563,1028629.14864374,4236855.271654882,8.632564168147637e-09,9.056937341342823e-08,15,8.19368092452806e-08
3,0,2021-07-14 00:15:00,4642433.976855859,1028629.4700011068,4236855.248535289,7.992676682099711e-09,8.952637355834516e-08,14,8.153369687624545e-08
4,0,2021-07-14 00:20:00,4642433.681318779,1028629.260764377,4236854.7516381005,7.701160621525478e-09,8.906655873793011e-08,15,8.136539811640463e-08
5,0,2021-07-14 00:25:00,4642433.83067211,1028629.3956031655,4236854.404891746,1.0522944835297042e-08,9.086067907285588e-08,15,8.033773423755884e-08
6,0,2021-07-14 00:30:00,4642433.154422221,1028629.2345127009,4236854.337346438,7.456234180291619e-09,8.823065298962295e-08,16,8.077441880933133e-08
7,0,2021-07-14 00:35:00,4642433.255575645,1028629.7234179806,4236853.789910499,6.4759351632470555e-09,8.60034539141213e-08,17,7.952751875087424e-08
8,0,2021-07-14 00:40:00,4642433.3218519045,1028629.7439523601,4236853.877368112,5.816818772936168e-09,8.515075660940362e-08,17,7.933393783646745e-08
9,0,2021-07-14 00:45:00,4642432.391193094,1028629.5774235763,4236853.538347318,6.103554255455485e-09,8.512554414305975e-08,17,7.902198988760427e-08
10,0,2021-07-14 00:50:00,4642432.735322161,1028629.6208623042,4236853.397944845,7.243083431400701e-09,8.636666935968668e-08,17,7.912358592828598e-08
11,0,2021-07-14 00:55:00,4642432.36862931,1028629.6985687041,4236852.243093936,4.95821733133323e-09,8.284561439376947e-08,16,7.788739706243624e-08
12,0,2021-07-14 02:00:00,4642431.919984336,1028630.07074733,4236852.499710689,1.1166319455927324e-08,8.878282332475355e-08,16,7.761650386882623e-08
13,0,2021-07-14 02:05:00,4642431.699943608,1028629.9670692444,4236852.663320654,9.734050610969657e-09,8.562891431942431e-08,15,7.589486370845466e-08
14,0,2021-07-14 02:10:00,4642432.071047343,1028630.2681405704,4236851.896729652,6.383127452127129e-09,8.327795007626979e-08,15,7.689482262414266e-08
15,0,2021-07-14 02:15:00,4642431.519584699,1028630.3580759085,4236852.148320975,7.22271902586735e-09,8.146277351887474e-08,15,7.424005449300739e-08
16,0,2021-07-14 02:20:00,4642431.827404193,1028629.9659891089,4236852.948027522,8.681125067883452e-09,8.538643239974489e-08,16,7.670530733186143e-08
17,0,2021-07-14 02:25:00,4642431.575997526,1028629.7608941068,4236852.697729775,7.421011118313695e-09,8.417181632811824e-08,16,7.675080520980455e-08
