,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-05-06 00:00:00,4642429.316432752,1028628.1049319011,4236853.977720072,5.532738878762112e-09,8.6603969777368e-08,11,8.107123089860588e-08
1,0,2021-05-06 00:05:00,4642430.337719919,1028629.2659617502,4236855.430289687,9.755487287108316e-09,8.644594574374673e-08,11,7.669045845663841e-08
2,0,2021-05-06 00:10:00,4642429.675253629,1028628.6116381474,4236854.9014135515,6.817765985196436e-09,8.931866164495612e-08,11,8.250089565975969e-08
3,0,2021-05-06 00:15:00,4642430.088876338,1028628.6112192073,4236854.939231097,4.4929789849248145e-09,8.619437401300958e-08,11,8.170139502808477e-08
4,0,2021-05-06 00:20:00,4642429.436456244,1028628.4768136677,4236856.213584813,4.429548792650692e-09,8.82033113923648e-08,12,8.377376259971411e-08
5,0,2021-05-06 00:25:00,4642429.059932248,1028627.9395777419,4236855.539694634,7.260474077109066e-09,9.170256222094501e-08,10,8.444208814383595e-08
6,0,2021-05-06 00:30:00,4642429.729837542,1028628.598406914,4236855.116581962,5.901228658044655e-09,8.296667371383032e-08,13,7.706544505578566e-08
7,0,2021-05-06 00:35:00,4642429.56147977,1028629.0144119406,4236854.639147286,3.479590848022259e-09,8.201229732208528e-08,13,7.853270647406303e-08
8,0,2021-05-06 00:40:00,4642429.869412422,1028628.6260660044,4236855.4617350465,3.3845223003570096e-09,8.19023007659804e-08,13,7.851777846562339e-08
9,0,2021-05-06 00:45:00,4642429.583945481,1028628.2562049414,4236854.540496162,2.651466620988987e-10,7.867886105103139e-08,15,7.841371438893249e-08
10,0,2021-05-06 00:50:00,4642429.739064983,1028628.6169021412,4236854.768129524,2.421175417832732e-09,8.031872389981744e-08,15,7.789754848198471e-08
11,0,2021-05-06 00:55:00,4642429.403628048,1028628.335230801,4236854.22709034,1.7153548297405092e-09,8.012383046247138e-08,16,7.840847563273087e-08
12,0,2021-05-06 01:00:00,4642428.679139773,1028628.4907484864,4236854.455752835,1.311133494362676e-09,8.08939441571718e-08,18,7.958281066280912e-08
13,0,2021-05-06 01:05:00,4642428.826625061,1028628.366885923,4236854.145546025,-6.807670138388722e-11,8.003873161383037e-08,19,8.010680831521427e-08
14,0,2021-05-06 01:10:00,4642427.61323646,1028628.4847025275,4236853.767814405,-1.4148282826625022e-09,7.945667623834042e-08,17,8.087150452100292e-08
15,0,2021-05-06 01:15:00,4642427.565737547,1028628.0580002461,4236854.191747315,-4.301586200246199e-10,8.10188139093473e-08,16,8.144897252937192e-08
16,0,2021-05-06 01:20:00,4642427.346479759,1028628.6369823894,4236852.460446173,-4.911779144488218e-09,7.413885210703485e-08,17,7.905063125152307e-08
17,0,2021-05-06 01:25:00,4642427.048909172,1028628.4827807517,4236852.6549610505,-4.6059568374189455e-09,7.475866408770861e-08,16,7.936462092512755e-08
18,0,2021-05-06 01:30:00,4642426.714876178,1028628.4426674397,4236852.072179779,-7.034399795328746e-09,7.203612162533737e-08,17,7.907052142066612e-08
19,0,2021-05-06 01:35:00,4642426.595383114,1028628.1542880728,4236851.883629285,-7.97712597839302e-09,7.085578418299701e-08,17,7.883291016139004e-08
20,0,2021-05-06 01:40:00,4642426.773469414,1028628.2684950132,4236852.130355792,-8.267675197635717e-09,7.068771385004351e-08,17,7.895538904767922e-08
21,0,2021-05-06 01:45:00,4642425.893305642,1028628.0474100945,4236851.515636475,-1.0326990856495786e-08,6.893212730196264e-08,17,7.925911815845842e-08
22,0,2021-05-06 01:50:00,4642427.085923624,1028628.3568197313,4236851.922505821,-8.0248726384031e-09,7.223220484080549e-08,17,8.025707747920859e-08
23,0,2021-05-06 01:55:00,4642426.784614172,1028628.1355825026,4236851.671249207,-1.1357816682140498e-08,6.703933442776346e-08,17,7.839715110990396e-08
24,0,2021-05-06 02:00:00,4642427.139026038,1028628.0678991856,4236851.271590164,-1.0788242709227774e-08,6.778036067233068e-08,14,7.856860338155845e-08
25,0,2021-05-06 02:05:00,4642426.9527445715,1028627.7461293222,4236850.409054087,-9.990871119429348e-09,6.987887412315272e-08,14,7.986974524258207e-08
26,0,2021-05-06 02:10:00,4642427.78127679,1028628.362516566,4236851.3511589505,-7.492808150994253e-09,7.237463226450789e-08,17,7.986744041550214e-08
27,0,2021-05-06 02:15:00,4642428.422241308,1028627.9130565672,4236851.89700935,-8.164698587565918e-09,7.171945619281658e-08,17,7.98841547803825e-08
28,0,2021-05-06 02:20:00,4642428.609354013,1028627.9670029136,4236851.350395802,-7.709561672153764e-09,7.063615501275849e-08,17,7.834571668491225e-08
29,0,2021-05-06 02:25:00,4642428.121862385,1028627.7135824193,4236850.982105606,-7.635004758208837e-09,7.087843002681024e-08,16,7.851343478501908e-08
30,0,2021-05-06 02:30:00,4642428.860289642,1028627.8918237792,4236851.391434008,-7.543529192662068e-09,7.168240965080041e-08,18,7.922593884346248e-08
31,0,2021-05-06 02:35:00,4642428.804724054,1028627.5395359659,4236851.082814036,-7.824901153105919e-09,7.050745167779918e-08,17,7.83323528309051e-08
32,0,2021-05-06 02:40:00,4642428.755686845,1028627.8230472091,4236850.682176273,-9.194017619974835e-09,6.903212239625026e-08,16,7.82261400162251e-08
33,0,2021-05-06 02:45:00,4642430.073547757,1028627.7813437999,4236851.738356108,-3.0368479713711166e-09,7.484968651433974e-08,17,7.788653448571085e-08
34,0,2021-05-06 02:50:00,4642429.720333528,1028627.5455927703,4236851.189002669,-4.4606249641400295e-09,7.443738335605406e-08,17,7.88980083201941e-08
35,0,2021-05-06 02:55:00,4642430.122873855,1028627.78145001,4236851.405170301,-4.13770268681791e-09,7.544393328824051e-08,17,7.958163597505842e-08
36,0,2021-05-06 03:00:00,4642430.238934078,1028627.3665324202,4236850.423106012,-5.98469073406456e-09,7.269514963949917e-08,16,7.867984037356373e-08
37,0,2021-05-06 03:05:00,4642430.053623559,1028627.5593596345,4236850.459123276,-5.769181637331115e-09,7.155872041026711e-08,16,7.732790204759823e-08
38,0,2021-05-06 03:10:00,4642429.8437324185,1028627.7259339634,4236849.7338032285,-1.3828708545707693e-08,6.344628992443359e-08,14,7.727499847014128e-08
